,to_1,to_2,to_3,to_4,to_5,to_6,to_7,to_8,to_9,to_10,to_11,to_12,to_13,to_14,to_15,to_16,to_17,to_18,to_19,to_20,to_21,to_22,to_23,to_24,to_25,to_26,to_27,to_28,to_29,to_30,to_31,to_32,to_33,to_34,to_35,to_36,to_37,to_38,to_39,to_40,to_41,to_42,to_43,to_44,to_45,to_46,to_47,to_48,to_49,to_50
from_1,0.52698,1.42067,0.7259,1.34957,1.45266,0.9916,0.66364,0.48068,0.34747,0.42298,0.36763,0.90398,0.89132,1.52776,0.36482,0.45957,0.28481,0.40655,0.2845,0.21438,0.30967,0.30172,0.39336,0.3308,0.38174,0.37632,0.33325,0.25956,0.37454,0.22988,0.29622,0.52165,0.60183,0.68264,2.10507,0.26476,0.33466,0.28816,0.32945,0.4221,0.21155,0.30043,0.40147,0.47283,0.23891,0.38555,0.29957,0.17238,0.32315,0.2725
from_2,0.87136,2.52645,1.23912,2.40318,2.59117,1.722,1.12192,0.78155,0.52655,0.67506,0.57002,1.58478,1.55446,2.69463,0.57276,0.75971,0.42431,0.653,0.42109,0.28044,0.46,0.45537,0.62683,0.50889,0.60479,0.5865,0.50477,0.3955,0.55909,0.31624,0.44393,0.86101,1.02871,1.14792,3.77753,0.33969,0.46377,0.36836,0.48493,0.68882,0.27767,0.451,0.64222,0.77768,0.34342,0.58851,0.46294,0.22762,0.49191,0.41299
from_3,0.53699,1.42796,0.73579,1.36131,1.46294,0.99686,0.67245,0.48883,0.35288,0.4312,0.37409,0.9189,0.90385,1.53346,0.3756,0.46963,0.29921,0.41906,0.29582,0.22484,0.31462,0.31211,0.40342,0.34115,0.38994,0.38591,0.34158,0.28143,0.38776,0.2388,0.30711,0.54403,0.62222,0.70119,2.10383,0.27417,0.35699,0.30683,0.34881,0.43727,0.22228,0.31227,0.4126,0.48255,0.25485,0.4012,0.31736,0.19058,0.35136,0.29218
from_4,3.73371,11.73169,5.48951,11.126,12.0427,7.82324,4.94801,3.32731,2.08598,2.81016,2.31905,7.25579,7.11777,12.49497,2.43854,3.36719,1.72127,2.80418,1.7219,0.98389,1.79494,1.82226,2.69523,2.13606,2.60325,2.50041,2.04201,1.64151,2.21987,1.12161,1.72714,3.79211,4.70771,5.10606,17.69228,1.07568,1.71817,1.13377,1.94795,2.99038,0.91648,1.85931,2.76939,3.4111,1.35238,2.41413,1.99836,0.67118,2.04077,1.74855
from_5,0.96071,2.81101,1.37107,2.67347,2.88324,1.90992,1.24032,0.86053,0.56942,0.74169,0.62446,1.76027,1.72641,2.99754,0.63088,0.8332,0.46144,0.71927,0.46076,0.29991,0.50171,0.48874,0.69136,0.55882,0.66675,0.64286,0.55167,0.42031,0.60675,0.3327,0.47321,0.93632,1.14057,1.26493,4.18501,0.36189,0.48994,0.37816,0.5236,0.75219,0.29391,0.4945,0.70852,0.85965,0.36422,0.63527,0.50507,0.21419,0.52263,0.44575
from_6,0.83927,2.39382,1.18217,2.27647,2.45318,1.63592,1.0729,0.75554,0.50994,0.65624,0.55829,1.51248,1.48421,2.56808,0.56871,0.74359,0.4271,0.64256,0.42656,0.28705,0.4557,0.45207,0.61924,0.50851,0.59869,0.57366,0.49745,0.39855,0.55512,0.31611,0.43502,0.84396,0.9997,1.1102,3.57378,0.34545,0.47056,0.37236,0.49102,0.67108,0.28204,0.45475,0.63359,0.75989,0.34816,0.58701,0.46873,0.2275,0.49618,0.42119
from_7,0.5687,1.56257,0.79215,1.48769,1.60191,1.08554,4.30441,2.90239,1.78715,2.46241,0.76246,0.9904,1.0752,1.6687,2.13462,2.93597,1.51092,2.45994,1.23904,0.71139,0.60739,0.59898,0.85482,1.29402,2.27587,2.10266,1.78111,1.29288,1.59611,0.82048,0.57374,1.17162,1.43011,1.69052,6.68002,0.80389,1.26017,0.84081,1.40717,2.12664,0.34491,0.60621,0.87651,1.06739,0.56299,1.15714,0.81657,0.43084,1.46406,1.25391
from_8,0.40907,1.01411,0.54288,0.96619,1.03596,0.72257,2.68453,1.8304,1.15728,1.56317,0.52475,0.66422,0.71639,1.10115,1.36146,1.85543,0.98037,1.56021,0.81427,0.4972,0.43005,0.43217,0.58276,0.84786,1.45124,1.34631,1.15279,0.84816,1.0483,0.56593,0.41789,0.79959,0.93949,1.10754,4.12989,0.56562,0.86191,0.60976,0.93277,1.36276,0.27917,0.43557,0.59671,0.7094,0.4117,0.78478,0.56201,0.33503,0.96823,0.82507
from_9,0.26225,0.55303,0.33008,0.53031,0.56498,0.41914,1.39407,0.96973,0.63653,0.83696,0.32106,0.37935,0.40509,0.60473,0.72667,0.96192,0.53736,0.82542,0.45484,0.30153,0.274,0.26754,0.3382,0.47153,0.76675,0.72655,0.62466,0.46029,0.59109,0.33288,0.2671,0.44945,0.50426,0.60885,2.0893,0.36151,0.49985,0.38719,0.52281,0.71948,0.19698,0.26334,0.34479,0.40272,0.25103,0.45188,0.31734,0.21494,0.52921,0.44845
from_10,0.44513,1.13543,0.60015,1.08346,1.16272,0.80371,3.05397,2.07311,1.29387,1.76408,0.57956,0.7385,0.79733,1.22211,1.53228,2.089,1.09961,1.7602,0.91099,0.54375,0.47199,0.46582,0.64445,0.94913,1.63042,1.51325,1.28602,0.94915,1.17095,0.61832,0.44844,0.87636,1.04434,1.23725,4.73345,0.62056,0.95042,0.6595,1.04071,1.52813,0.2899,0.47197,0.6595,0.79192,0.44164,0.86528,0.61873,0.35031,1.08099,0.92214
